date,Q,CD,HD,lnQ,month_name,dlnQ,dCD,dHD,DX70,DX90,days_in_month,prop_days_over_90,prop_days_under_70
2005-12-01,2181,0.0,8.193548387096774,7.687538766201629,Dec,0.2230289315651017,-3.066666666666667,6.426881720430107,15,0,31,0.0,0.5161290322580645
2006-01-01,2275,0.2258064516129032,7.516129032258065,7.729735331385051,Jan,0.0421965651834215,0.2258064516129032,-0.6774193548387091,19,0,31,0.0,0.3870967741935484
2006-02-01,1895,0.6785714285714286,3.857142857142857,7.546974117516527,Feb,-0.1827612138685239,0.4527649769585253,-3.658986175115208,22,0,28,0.0,0.21428571428571427
2006-03-01,1896,1.3870967741935485,4.064516129032258,7.547501682814967,Mar,0.00052756529844,0.7085253456221199,0.2073732718894008,20,0,31,0.0,0.3548387096774194
2006-04-01,1827,7.833333333333333,0.1333333333333333,7.510430556378006,Apr,-0.0370711264369605,6.446236559139784,-3.9311827956989247,30,7,30,0.23333333333333334,0.0
2006-05-01,2511,19.677419354838708,0.0,7.828436359157585,May,0.3180058027795791,11.844086021505376,-0.1333333333333333,31,28,31,0.9032258064516129,0.0
2006-06-01,3557,29.6,0.0,8.176672771948455,Jun,0.3482364127908699,9.922580645161291,0.0,30,30,30,1.0,0.0
2006-07-01,4298,31.516129032258064,0.0,8.365905077202456,Jul,0.1892323052540003,1.9161290322580624,0.0,31,31,31,1.0,0.0
2006-08-01,4093,27.516129032258064,0.0,8.317033476492403,Aug,-0.0488716007100524,-4.0,0.0,31,31,31,1.0,0.0
2006-09-01,3391,20.6,0.0,8.128880142125638,Sep,-0.1881533343667651,-6.916129032258063,0.0,30,28,30,0.9333333333333333,0.0
2006-10-01,2422,11.064516129032258,0.0,7.792348924113037,Oct,-0.3365312180126008,-9.535483870967743,0.0,31,10,31,0.3225806451612903,0.0
2006-11-01,1878,3.8,1.7,7.537962659768208,Nov,-0.2543862643448289,-7.264516129032258,1.7,26,1,30,0.03333333333333333,0.13333333333333333
2006-12-01,2325,0.0,10.67741935483871,7.751475318021456,Dec,0.213512658253248,-3.8,8.97741935483871,10,0,31,0.0,0.6774193548387096
2007-01-01,2741,0.0,12.096774193548388,7.916078096302786,Jan,0.1646027782813295,0.0,1.419354838709678,10,0,31,0.0,0.6774193548387096
2007-02-01,2150,0.3571428571428571,5.464285714285714,7.673223121121708,Feb,-0.2428549751810775,0.3571428571428571,-6.6324884792626735,16,0,28,0.0,0.42857142857142855
2007-03-01,1952,5.516129032258065,1.8064516129032255,7.576609766973037,Mar,-0.0966133541486709,5.158986175115208,-3.657834101382488,26,6,31,0.1935483870967742,0.16129032258064516
2007-04-01,1858,8.933333333333334,0.2666666666666666,7.527255919373784,Apr,-0.0493538475992538,3.4172043010752686,-1.5397849462365591,29,12,30,0.4,0.03333333333333333
2007-05-01,2641,19.612903225806452,0.0,7.878912912297133,May,0.351656992923349,10.679569892473118,-0.2666666666666666,31,26,31,0.8387096774193549,0.0
