earn_per_hour,age,grade92,sex,race,marital,ownchild,emp_class,uhours
11.5,29,39,2,1,1,0,"Private, For Profit",40
11.428571428571429,41,39,1,2,1,1,"Private, For Profit",35
10.0,63,44,2,1,1,0,Government - Local,16
23.07675,51,42,1,1,1,0,Government - Federal,40
14.422999999999998,48,39,2,1,1,0,"Private, For Profit",40
11.2,45,39,2,1,1,0,"Private, For Profit",38
10.666666666666666,36,41,2,1,1,2,Government - Local,30
18.5,36,38,1,1,1,2,Government - State,40
32.51745454545455,33,45,2,1,1,0,"Private, For Profit",55
41.88022222222222,34,44,1,1,1,0,"Private, For Profit",45
26.425,51,43,2,1,1,0,"Private, For Profit",40
32.3,50,40,1,1,1,0,"Private, For Profit",50
48.075,32,43,1,1,1,0,Government - State,40
20.425,29,39,2,1,1,0,"Private, For Profit",40
24.025,46,44,1,2,1,0,"Private, For Profit",40
12.5,43,44,2,2,1,0,"Private, For Profit",40
30.0,58,40,2,1,1,0,"Private, For Profit",40
11.2175,18,40,1,1,7,0,"Private, For Profit",12
11.0,44,40,1,1,1,1,"Private, For Profit",40
34.125,58,43,1,1,1,0,Government - State,40
37.5,44,39,1,1,1,2,Government - Local,40
57.6922,41,46,2,1,1,3,"Private, For Profit",50
12.0,40,44,1,1,1,3,"Private, For Profit",50
30.0,49,39,1,1,1,0,"Private, For Profit",40
21.0,57,43,2,1,1,0,Government - Federal,40
9.0,28,43,1,1,1,1,"Private, For Profit",40
14.0,29,39,2,1,1,1,"Private, For Profit",40
26.44225,54,44,2,1,1,0,Government - Local,40
25.633333333333333,53,40,1,1,1,0,"Private, For Profit",60
15.55,26,31,2,1,7,2,"Private, For Profit",40
42.3,34,43,2,1,7,0,"Private, For Profit",40
31.15,44,46,2,4,7,2,"Private, For Profit",50
50.48075,33,44,1,4,1,0,"Private, For Profit",40
32.05111111111111,32,43,2,4,1,0,"Private, For Profit",45
22.222,44,43,2,1,1,3,"Private, For Profit",10
48.07683333333333,45,43,1,1,1,3,"Private, For Profit",60
14.4,38,41,1,1,1,0,"Private, For Profit",40
13.45,34,43,2,1,1,0,"Private, For Profit",40
13.333333333333334,34,33,1,1,1,5,"Private, For Profit",30
8.5,18,38,1,1,7,0,"Private, For Profit",20
8.0,45,40,2,1,1,2,Government - State,50
25.0,46,43,1,2,1,2,Government - State,50
36.725,54,40,2,1,1,0,"Private, For Profit",40
14.0,61,38,1,1,1,0,"Private, For Profit",40
10.0,25,43,2,1,7,0,"Private, For Profit",40
14.8,24,42,1,1,7,0,"Private, For Profit",40
34.1345,59,43,1,1,1,0,Government - State,40
36.725,51,40,2,1,1,0,Government - State,40
35.0,51,43,1,1,5,1,"Private, For Profit",40
25.0,29,43,1,1,7,0,"Private, For Profit",35
16.025333333333332,59,42,2,1,1,0,"Private, For Profit",30
25.0,43,41,1,1,1,1,"Private, For Profit",40
10.0,38,40,1,1,1,0,"Private, For Profit",40
59.82888888888889,62,43,1,1,5,0,"Private, For Profit",45
8.0,24,36,1,1,1,0,"Private, For Profit",40
26.0,32,39,1,1,1,1,Government - Federal,50
14.7115,64,33,1,3,1,0,Government - Federal,40
12.0,42,41,1,2,1,1,Government - Federal,40
10.77,25,39,1,1,7,0,Government - State,40
36.725,42,40,2,1,5,4,Government - Local,40
9.0,55,32,2,1,1,0,"Private, Nonprofit",20
12.0,60,34,1,1,1,0,"Private, For Profit",32
14.0,31,41,2,1,7,1,Government - Federal,40
8.5,58,39,2,3,7,0,"Private, For Profit",32
14.0,27,40,2,1,1,0,"Private, For Profit",40
7.85,25,37,2,1,7,3,"Private, For Profit",35
11.217833333333337,62,44,1,1,5,0,"Private, For Profit",60
14.97,28,40,2,1,7,0,"Private, For Profit",40
24.03825,35,41,2,1,7,0,"Private, For Profit",40
8.5,36,39,1,1,1,2,"Private, For Profit",40
17.5,29,43,2,1,1,2,"Private, For Profit",40
25.0,44,39,1,1,1,0,"Private, For Profit",40
25.0,56,39,2,1,1,0,"Private, For Profit",40
17.5,28,43,2,1,7,0,Government - State,40
11.25,29,40,2,2,7,1,"Private, For Profit",40
23.075,30,43,1,2,7,0,"Private, For Profit",40
15.85,31,43,2,2,7,0,"Private, For Profit",40
15.6,58,33,1,1,1,0,"Private, For Profit",40
15.6,64,33,2,1,1,0,"Private, For Profit",40
24.244999999999997,28,39,1,1,7,0,"Private, For Profit",40
24.025,55,39,1,1,5,0,"Private, For Profit",40
12.5,43,33,1,1,1,4,"Private, For Profit",40
5.28825,51,39,1,1,1,3,"Private, For Profit",40
10.0,17,37,1,1,7,0,"Private, For Profit",10
21.6345,50,39,1,1,1,0,"Private, For Profit",40
8.4134375,55,39,2,1,1,0,Government - Local,32
14.0,60,41,1,1,1,0,"Private, For Profit",35
11.297916666666666,24,42,1,1,7,0,Government - State,48
11.5,26,39,2,1,7,0,"Private, For Profit",40
7.0,32,37,1,1,1,1,"Private, For Profit",40
30.0,32,40,2,1,1,1,"Private, For Profit",40
21.36733333333333,31,43,2,1,5,0,"Private, For Profit",45
16.82675,29,42,1,1,7,0,"Private, For Profit",40
27.47142857142857,32,39,2,1,1,0,Government - State,70
9.226666666666668,33,41,1,1,1,0,"Private, For Profit",75
11.05,37,40,1,2,5,0,"Private, For Profit",40
21.6345,53,43,2,1,5,0,Government - Local,40
9.0,38,39,2,1,7,0,"Private, For Profit",40
9.0,31,39,2,1,7,0,"Private, For Profit",40
45.29911111111111,62,44,2,1,5,0,"Private, For Profit",45
7.35,20,40,1,2,7,0,"Private, For Profit",25
19.5,56,39,1,1,1,0,"Private, For Profit",40
13.548636363636364,52,37,2,1,1,0,"Private, For Profit",22
14.75,32,39,2,1,1,0,"Private, For Profit",40
19.6152,57,39,2,1,1,0,"Private, For Profit",50
15.86525,51,42,2,1,5,0,Government - State,40
25.0,55,39,2,1,1,0,"Private, For Profit",40
27.45,54,40,1,1,1,0,"Private, For Profit",40
10.5,47,39,2,1,1,0,"Private, For Profit",40
24.7595,24,43,1,1,1,0,"Private, For Profit",40
17.11275,23,44,2,1,1,0,Government - Local,40
7.25,52,37,2,1,1,0,"Private, For Profit",20
10.0,37,40,1,1,1,2,"Private, For Profit",40
8.25,37,39,2,1,1,2,"Private, For Profit",40
10.0,40,39,1,1,6,0,"Private, For Profit",40
22.2,35,43,2,4,2,2,"Private, For Profit",10
12.26,54,43,2,1,5,0,"Private, For Profit",40
24.03825,58,39,1,1,1,0,"Private, For Profit",40
26.44225,34,39,1,1,1,2,"Private, For Profit",40
7.211499999999999,33,43,2,1,1,2,Government - Local,40
18.85,29,39,2,1,1,1,"Private, For Profit",40
21.0,33,39,1,1,1,1,"Private, For Profit",40
20.7692,37,40,1,1,1,4,"Private, For Profit",50
21.625,57,40,2,1,1,0,"Private, For Profit",40
12.59154761904762,61,40,1,1,1,0,"Private, For Profit",84
24.85125,29,39,1,2,7,1,"Private, For Profit",40
11.5,25,39,2,2,4,0,"Private, For Profit",36
14.0,30,39,2,1,7,1,"Private, For Profit",40
14.8,23,39,1,1,1,0,"Private, For Profit",40
10.0,23,40,2,1,7,0,"Private, For Profit",15
13.84,30,39,1,1,7,0,"Private, For Profit",50
47.5,47,43,2,1,1,0,Government - State,40
32.05111111111111,32,44,1,1,1,2,"Private, For Profit",45
14.4,31,40,1,1,7,1,"Private, For Profit",40
17.5,27,40,2,1,7,1,"Private, For Profit",20
28.305555555555557,60,42,1,1,1,0,"Private, For Profit",36
8.0,35,40,2,1,5,1,"Private, For Profit",14
17.1,21,44,2,1,7,0,"Private, Nonprofit",40
15.938,51,43,2,1,5,0,"Private, For Profit",40
24.025,63,39,1,1,1,0,"Private, For Profit",40
10.0,23,39,1,1,7,0,"Private, For Profit",40
23.61111111111111,51,41,2,1,6,0,"Private, For Profit",36
10.0,34,37,2,1,7,0,"Private, For Profit",40
14.4,19,40,1,1,7,0,"Private, For Profit",40
19.2,55,39,2,1,5,0,"Private, For Profit",40
21.6345,59,40,1,1,5,0,Government - Local,40
26.425,43,43,2,1,5,2,"Private, Nonprofit",40
13.5,17,37,2,1,7,0,"Private, For Profit",10
14.5,33,39,1,1,5,0,"Private, For Profit",40
