female,age,education,ln_wage
0,51,MA,3.959811802596086
0,30,MA,0.8770300179208524
1,32,MA,2.787422598698049
0,48,MA,2.667228206581955
1,28,MA,3.649657740960155
0,37,MA,3.624340932976365
1,36,MA,3.767436443269483
1,37,MA,3.377450987932155
1,39,MA,2.782152220857264
1,51,MA,3.457286242252409
0,41,MA,3.543853682063679
1,54,MA,3.1627921274312847
1,56,MA,3.101092789211817
0,55,MA,2.974527208756449
1,55,MA,2.638056829281675
1,49,Professional,4.205944872134994
1,60,MA,3.2188758248682006
0,39,Professional,2.900422093749666
1,43,MA,3.6087534096346516
1,25,PhD,4.029806041084529
1,28,MA,3.649358695951653
0,48,MA,2.825232455725203
0,44,MA,2.995732273553991
1,50,MA,2.868845423648137
0,30,MA,3.2327643853045775
0,64,PhD,3.4011973816621555
1,54,MA,3.0518195583844725
0,60,Professional,4.0551219824004106
0,54,PhD,3.6984460479831482
1,38,MA,3.671637212896727
0,41,Professional,4.0551219824004106
0,30,MA,3.145444546782318
0,32,Professional,2.6098840951685403
1,59,MA,3.7894202485531103
0,38,PhD,3.9828021874886934
1,37,MA,4.1829553539102955
0,55,MA,3.516124491189194
1,42,MA,2.668824154601373
0,44,Professional,4.27826553371462
1,59,MA,3.7927577179329193
1,48,MA,4.044190969005563
0,31,PhD,3.6888794541139363
0,54,Professional,4.111816043134105
1,57,MA,3.686470304441914
0,28,MA,3.310679865343238
0,56,MA,2.995732273553991
0,61,MA,4.169606630055894
0,25,MA,3.073850052817943
1,31,MA,3.1388277838471086
0,50,MA,2.2380465718564744
1,39,MA,2.631089159966082
0,61,MA,3.872798692268385
0,45,MA,3.516124491189194
0,57,PhD,3.0638643302016924
1,46,MA,3.4866102595102855
1,57,MA,3.530030253505124
1,43,MA,2.995732273553991
0,62,PhD,3.8728004256064557
0,49,MA,3.3211507850921684
1,35,MA,3.149193430000346
1,31,MA,3.8423406105602913
0,45,MA,3.55434496114985
0,63,MA,3.225840605287843
1,46,MA,4.1504334228123545
1,40,MA,3.1308561475067673
1,41,MA,3.85870133949574
1,54,Professional,3.862748724092907
0,58,PhD,3.872798692268385
1,56,MA,3.767436443269483
1,56,PhD,3.7079268943673647
0,58,PhD,4.1604824980582364
0,55,Professional,3.816712825623821
1,29,MA,3.3619731597307885
1,58,MA,3.683866912290392
1,50,MA,4.27826553371462
1,32,MA,3.767436443269483
1,28,MA,2.70805020110221
1,28,MA,2.70805020110221
1,24,MA,3.005298867423203
1,26,MA,3.179646311676199
0,29,Professional,3.056356895370426
0,27,MA,3.516124491189194
0,54,MA,3.9404598192527236
1,54,MA,3.7335360870017613
0,46,MA,3.6984485241776333
0,54,MA,4.0551219824004106
0,52,MA,3.872798692268385
1,52,MA,3.9681102902586276
0,60,MA,3.710280068654017
1,54,MA,3.8319782144191064
1,30,MA,3.2284424187374126
1,29,MA,4.029806041084529
0,38,PhD,4.0551219824004106
1,37,PhD,4.160480764720166
1,61,MA,4.017383521085972
0,63,Professional,3.8728004256064557
1,36,MA,2.7343675094195836
0,49,MA,4.27826553371462
0,31,MA,3.575550768806933
0,52,MA,3.398230020434353
0,41,MA,3.649657740960155
1,37,MA,3.4657359027997265
1,36,MA,3.4265113007499943
1,39,MA,2.9565093785801477
1,41,MA,4.029806041084529
1,63,MA,1.9844438130575563
0,27,MA,2.665490586683414
1,45,MA,3.244188299504935
1,29,Professional,2.72785282839839
1,56,MA,3.7837686699044673
1,35,MA,3.8623074131822133
0,50,MA,4.27826553371462
1,48,MA,3.8623074131822133
0,60,PhD,4.0551219824004106
1,59,MA,3.0618632760198157
1,44,MA,2.9565040603725845
1,54,MA,3.0819099697950434
0,53,MA,4.27826553371462
1,42,MA,4.020472459684851
0,44,Professional,4.1604824980582364
0,43,MA,4.0551228490683195
1,39,MA,3.649657740960155
0,62,MA,3.8728004256064557
